Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8
12-06-2023 18:17:16.973,2386,5,13,8,-5,,,
12-06-2023 18:17:16.996,2387,8,13,9,-5,,,
12-06-2023 18:17:17.012,2388,22,12,10,-5,,,
12-06-2023 18:17:17.032,2389,21,5,10,-5,,,
12-06-2023 18:17:17.053,2390,23,7,11,-6,,,
12-06-2023 18:17:17.074,2391,31,7,12,-6,,,
12-06-2023 18:17:17.096,2392,34,6,12,-7,,,
12-06-2023 18:17:17.112,2393,35,6,13,-6,,,
12-06-2023 18:17:17.134,2394,35,8,12,-6,,,
12-06-2023 18:17:17.155,2395,33,9,18,-5,,,
12-06-2023 18:17:17.174,2396,31,11,21,-4,,,
12-06-2023 18:17:17.195,2397,25,10,29,-4,,,
12-06-2023 18:17:17.214,2398,18,9,46,-6,,,
12-06-2023 18:17:17.233,2399,17,8,46,-7,,,
12-06-2023 18:17:17.252,2400,14,8,30,-4,,,
12-06-2023 18:17:17.273,2401,13,7,26,-3,,,
12-06-2023 18:17:17.293,2402,12,7,26,-3,,,
12-06-2023 18:17:17.315,2403,9,7,12,-7,,,
12-06-2023 18:17:17.334,2404,7,8,7,-7,,,
12-06-2023 18:17:17.352,2405,6,9,8,-6,,,
12-06-2023 18:17:17.373,2406,3,10,5,-2,,,
12-06-2023 18:17:17.395,2407,6,9,4,1,,,
12-06-2023 18:17:17.417,2408,7,8,8,-1,,,
12-06-2023 18:17:17.433,2409,7,8,13,-5,,,
12-06-2023 18:17:17.458,2410,9,8,15,-1,,,
12-06-2023 18:17:17.478,2411,9,8,15,-1,,,
12-06-2023 18:17:17.497,2412,11,8,25,-1,,,
12-06-2023 18:17:17.516,2413,11,8,30,-3,,,
12-06-2023 18:17:17.535,2414,10,6,33,-3,,,
12-06-2023 18:17:17.556,2415,21,4,36,-7,,,
12-06-2023 18:17:17.576,2416,33,4,37,-7,,,
12-06-2023 18:17:17.598,2417,39,6,32,-5,,,
12-06-2023 18:17:17.613,2418,42,6,28,-5,,,
12-06-2023 18:17:17.631,2419,36,9,23,-5,,,
12-06-2023 18:17:17.653,2420,23,6,18,-5,,,
12-06-2023 18:17:17.675,2421,21,4,15,-4,,,
12-06-2023 18:17:17.697,2422,11,9,17,-4,,,
12-06-2023 18:17:17.711,2423,11,9,17,-4,,,
12-06-2023 18:17:17.734,2424,7,11,12,-5,,,
12-06-2023 18:17:17.755,2425,5,11,14,-6,,,
12-06-2023 18:17:17.772,2426,4,10,13,-6,,,
12-06-2023 18:17:17.796,2427,7,8,14,-5,,,
12-06-2023 18:17:17.813,2428,12,8,14,-4,,,
12-06-2023 18:17:17.835,2429,16,9,14,-4,,,
12-06-2023 18:17:17.854,2430,29,7,14,-4,,,
12-06-2023 18:17:17.875,2431,25,-1,14,-5,,,
12-06-2023 18:17:17.892,2432,27,-1,14,-5,,,
12-06-2023 18:17:17.912,2433,34,4,14,-6,,,
12-06-2023 18:17:17.933,2434,35,6,14,-6,,,
12-06-2023 18:17:17.955,2435,34,8,14,-6,,,
12-06-2023 18:17:17.975,2436,31,9,14,-6,,,
12-06-2023 18:17:17.995,2437,26,9,13,-5,,,
12-06-2023 18:17:18.011,2438,24,10,13,-6,,,
12-06-2023 18:17:18.034,2439,19,11,18,-9,,,
12-06-2023 18:17:18.054,2440,14,10,30,-5,,,
12-06-2023 18:17:18.073,2441,12,10,35,-6,,,
12-06-2023 18:17:18.094,2442,8,10,44,-9,,,
12-06-2023 18:17:18.114,2443,6,11,30,-8,,,
12-06-2023 18:17:18.135,2444,4,11,21,-8,,,
12-06-2023 18:17:18.152,2445,3,11,21,-7,,,
12-06-2023 18:17:18.175,2446,5,10,3,-8,,,
12-06-2023 18:17:18.195,2447,5,10,-3,-9,,,
12-06-2023 18:17:18.215,2448,7,10,-11,-6,,,
12-06-2023 18:17:18.234,2449,8,9,-11,-7,,,
12-06-2023 18:17:18.252,2450,9,9,-8,-7,,,
12-06-2023 18:17:18.274,2451,10,9,7,-12,,,
12-06-2023 18:17:18.295,2452,11,10,7,-3,,,
12-06-2023 18:17:18.312,2453,12,10,7,-4,,,
12-06-2023 18:17:18.333,2454,12,9,18,-4,,,
12-06-2023 18:17:18.354,2455,13,8,21,0,,,
12-06-2023 18:17:18.372,2456,14,8,24,-1,,,
12-06-2023 18:17:18.393,2457,11,9,29,-3,,,
12-06-2023 18:17:18.412,2458,15,9,33,-6,,,
12-06-2023 18:17:18.432,2459,18,8,35,-9,,,
12-06-2023 18:17:18.452,2460,27,6,34,-9,,,
12-06-2023 18:17:18.473,2461,36,5,30,-8,,,
12-06-2023 18:17:18.496,2462,48,8,23,-7,,,
12-06-2023 18:17:18.514,2463,51,8,19,-6,,,
12-06-2023 18:17:18.533,2464,47,9,11,-6,,,
12-06-2023 18:17:18.555,2465,41,10,11,-6,,,
12-06-2023 18:17:18.578,2466,28,11,7,-5,,,
12-06-2023 18:17:18.592,2467,23,12,8,-4,,,
12-06-2023 18:17:18.616,2468,16,13,8,-5,,,
12-06-2023 18:17:18.635,2469,11,11,10,-5,,,
12-06-2023 18:17:18.655,2470,8,10,11,-6,,,
12-06-2023 18:17:18.671,2471,9,10,11,-6,,,
12-06-2023 18:17:18.692,2472,13,8,12,-6,,,
12-06-2023 18:17:18.712,2473,31,11,12,-6,,,
12-06-2023 18:17:18.735,2474,30,10,13,-6,,,
12-06-2023 18:17:18.751,2475,25,1,12,-7,,,
12-06-2023 18:17:18.775,2476,37,6,14,-7,,,
12-06-2023 18:17:18.793,2477,39,6,13,-8,,,
12-06-2023 18:17:18.814,2478,41,5,13,-9,,,
12-06-2023 18:17:18.834,2479,38,6,14,-9,,,
12-06-2023 18:17:18.852,2480,36,7,14,-9,,,
12-06-2023 18:17:18.872,2481,30,8,14,-10,,,
12-06-2023 18:17:18.892,2482,24,8,23,-11,,,
12-06-2023 18:17:18.911,2483,22,7,32,-8,,,
12-06-2023 18:17:18.932,2484,16,8,45,-11,,,
12-06-2023 18:17:18.953,2485,12,7,50,-16,,,
12-06-2023 18:17:18.973,2486,10,8,44,-14,,,
12-06-2023 18:17:18.995,2487,12,7,33,-11,,,
12-06-2023 18:17:19.012,2488,12,7,27,-9,,,
12-06-2023 18:17:19.031,2489,13,7,19,-10,,,
12-06-2023 18:17:19.052,2490,14,7,10,-13,,,
12-06-2023 18:17:19.074,2491,15,8,7,-15,,,
12-06-2023 18:17:19.095,2492,15,8,6,-16,,,
12-06-2023 18:17:19.115,2493,15,7,5,-17,,,
12-06-2023 18:17:19.134,2494,15,6,8,-14,,,
12-06-2023 18:17:19.155,2495,15,7,12,-13,,,
12-06-2023 18:17:19.175,2496,16,7,17,-12,,,
12-06-2023 18:17:19.193,2497,16,7,25,-6,,,
12-06-2023 18:17:19.215,2498,16,7,27,-8,,,
12-06-2023 18:17:19.234,2499,16,7,31,-8,,,
12-06-2023 18:17:19.255,2500,16,7,36,-11,,,
12-06-2023 18:17:19.276,2501,17,7,35,-13,,,
12-06-2023 18:17:19.293,2502,14,8,32,-15,,,
12-06-2023 18:17:19.311,2503,19,9,29,-14,,,
12-06-2023 18:17:19.335,2504,24,7,27,-13,,,
12-06-2023 18:17:19.352,2505,36,3,20,-13,,,
12-06-2023 18:17:19.376,2506,46,7,13,-12,,,
12-06-2023 18:17:19.398,2507,38,9,9,-13,,,
12-06-2023 18:17:19.421,2508,38,9,6,-13,,,
12-06-2023 18:17:19.434,2509,32,9,6,-13,,,
12-06-2023 18:17:19.459,2510,32,9,3,-13,,,
12-06-2023 18:17:19.475,2511,32,9,3,-13,,,
12-06-2023 18:17:19.503,2512,25,6,3,-13,,,
12-06-2023 18:17:19.518,2513,25,6,6,-13,,,
12-06-2023 18:17:19.542,2514,25,6,6,-13,,,
12-06-2023 18:17:19.562,2515,20,5,7,-12,,,
12-06-2023 18:17:19.577,2516,20,5,7,-12,,,
12-06-2023 18:17:19.597,2517,20,5,7,-12,,,
12-06-2023 18:17:19.619,2518,20,6,7,-12,,,
12-06-2023 18:17:19.640,2519,20,6,4,-13,,,
12-06-2023 18:17:19.668,2520,18,7,4,-13,,,
12-06-2023 18:17:19.687,2521,18,7,4,-13,,,
12-06-2023 18:17:19.707,2522,18,7,3,-14,,,
12-06-2023 18:17:19.722,2523,18,7,3,-14,,,
12-06-2023 18:17:19.735,2524,18,7,3,-14,,,
12-06-2023 18:17:19.762,2525,14,9,3,-14,,,
12-06-2023 18:17:19.786,2526,14,9,3,-14,,,
12-06-2023 18:17:19.800,2527,14,9,3,-14,,,
12-06-2023 18:17:19.817,2528,14,9,3,-14,,,
12-06-2023 18:17:19.840,2529,11,10,3,-14,,,
12-06-2023 18:17:19.866,2530,11,10,4,-14,,,
12-06-2023 18:17:19.882,2531,11,10,4,-14,,,
12-06-2023 18:17:19.907,2532,10,11,4,-14,,,
12-06-2023 18:17:19.924,2533,10,11,4,-14,,,
12-06-2023 18:17:19.938,2534,11,11,4,-14,,,
12-06-2023 18:17:19.951,2535,11,11,4,-14,,,
