Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
12-06-2023 17:55:02.319,2007,14,8,19,-6,,,,
12-06-2023 17:55:02.341,2008,20,7,22,-8,,,,
12-06-2023 17:55:02.359,2009,30,5,23,-7,,,,
12-06-2023 17:55:02.384,2010,34,4,20,-7,,,,
12-06-2023 17:55:02.403,2011,39,4,19,-6,,,,
12-06-2023 17:55:02.424,2012,38,11,16,-6,,,,
12-06-2023 17:55:02.439,2013,34,13,14,-6,,,,
12-06-2023 17:55:02.460,2014,26,14,11,-7,,,,
12-06-2023 17:55:02.481,2015,18,18,8,-8,,,,
12-06-2023 17:55:02.503,2016,14,20,7,-8,,,,
12-06-2023 17:55:02.520,2017,13,19,6,-8,,,,
12-06-2023 17:55:02.541,2018,14,17,4,-9,,,,
12-06-2023 17:55:02.559,2019,15,16,4,-9,,,,
12-06-2023 17:55:02.582,2020,21,14,6,-9,,,,
12-06-2023 17:55:02.599,2021,26,4,7,-9,,,,
12-06-2023 17:55:02.623,2022,25,7,8,-8,,,,
12-06-2023 17:55:02.646,2023,25,5,9,-8,,,,
12-06-2023 17:55:02.664,2024,30,5,10,-7,,,,
12-06-2023 17:55:02.682,2025,30,3,10,-7,,,,
12-06-2023 17:55:02.700,2026,27,3,11,-9,,,,
12-06-2023 17:55:02.722,2027,24,3,18,-7,,,,
12-06-2023 17:55:02.743,2028,25,2,30,-7,,,,
12-06-2023 17:55:02.765,2029,25,1,26,-10,,,,
12-06-2023 17:55:02.784,2030,23,-1,15,-12,,,,
12-06-2023 17:55:02.801,2031,22,-2,11,-13,,,,
12-06-2023 17:55:02.823,2032,20,0,10,-13,,,,
12-06-2023 17:55:02.841,2033,16,2,10,-13,,,,
12-06-2023 17:55:02.863,2034,12,4,11,-13,,,,
12-06-2023 17:55:02.882,2035,12,4,12,-13,,,,
12-06-2023 17:55:02.903,2036,8,7,21,-12,,,,
12-06-2023 17:55:02.923,2037,10,6,20,-2,,,,
12-06-2023 17:55:02.939,2038,11,6,21,-4,,,,
12-06-2023 17:55:02.963,2039,11,7,25,-5,,,,
12-06-2023 17:55:02.981,2040,9,7,25,-4,,,,
12-06-2023 17:55:02.999,2041,17,7,25,-3,,,,
12-06-2023 17:55:03.021,2042,25,6,22,-4,,,,
12-06-2023 17:55:03.046,2043,31,7,21,-3,,,,
12-06-2023 17:55:03.064,2044,33,10,21,-3,,,,
12-06-2023 17:55:03.082,2045,25,12,21,-4,,,,
12-06-2023 17:55:03.104,2046,17,14,20,-4,,,,
12-06-2023 17:55:03.121,2047,13,15,20,-4,,,,
12-06-2023 17:55:03.144,2048,10,17,20,-5,,,,
12-06-2023 17:55:03.160,2049,9,19,19,-5,,,,
12-06-2023 17:55:03.184,2050,11,19,15,-6,,,,
12-06-2023 17:55:03.201,2051,14,18,11,-7,,,,
12-06-2023 17:55:03.222,2052,21,15,6,-8,,,,
12-06-2023 17:55:03.242,2053,24,8,7,-8,,,,
12-06-2023 17:55:03.263,2054,25,13,9,-7,,,,
12-06-2023 17:55:03.282,2055,26,11,8,-6,,,,
12-06-2023 17:55:03.303,2056,28,7,8,-8,,,,
12-06-2023 17:55:03.320,2057,27,7,14,-9,,,,
12-06-2023 17:55:03.339,2058,27,6,18,-8,,,,
12-06-2023 17:55:03.361,2059,23,6,30,-8,,,,
12-06-2023 17:55:03.387,2060,23,4,31,-11,,,,
12-06-2023 17:55:03.405,2061,22,4,19,-12,,,,
12-06-2023 17:55:03.422,2062,22,3,14,-12,,,,
12-06-2023 17:55:03.439,2063,21,1,14,-12,,,,
12-06-2023 17:55:03.468,2064,23,1,3,-12,,,,
12-06-2023 17:55:03.483,2065,23,0,3,-12,,,,
12-06-2023 17:55:03.503,2066,21,2,2,-11,,,,
12-06-2023 17:55:03.520,2067,24,2,3,-10,,,,
12-06-2023 17:55:03.543,2068,24,2,6,-6,,,,
12-06-2023 17:55:03.560,2069,23,-1,11,-8,,,,
12-06-2023 17:55:03.579,2070,23,0,20,-6,,,,
12-06-2023 17:55:03.601,2071,21,-1,16,-3,,,,
12-06-2023 17:55:03.618,2072,22,2,19,-3,,,,
12-06-2023 17:55:03.640,2073,22,4,20,-4,,,,
12-06-2023 17:55:03.659,2074,24,4,19,-4,,,,
12-06-2023 17:55:03.685,2075,24,5,18,-5,,,,
12-06-2023 17:55:03.701,2076,26,6,17,-5,,,,
12-06-2023 17:55:03.719,2077,35,5,13,-6,,,,
12-06-2023 17:55:03.741,2078,39,10,10,-5,,,,
12-06-2023 17:55:03.758,2079,37,11,8,-5,,,,
12-06-2023 17:55:03.782,2080,28,13,5,-6,,,,
12-06-2023 17:55:03.800,2081,23,11,1,-6,,,,
12-06-2023 17:55:03.823,2082,15,16,0,-6,,,,
12-06-2023 17:55:03.840,2083,10,18,1,-6,,,,
12-06-2023 17:55:03.864,2084,4,19,3,-6,,,,
12-06-2023 17:55:03.881,2085,3,20,4,-6,,,,
12-06-2023 17:55:03.903,2086,3,20,6,-7,,,,
12-06-2023 17:55:03.920,2087,6,18,7,-8,,,,
12-06-2023 17:55:03.940,2088,8,17,8,-8,,,,
12-06-2023 17:55:03.960,2089,16,16,9,-7,,,,
12-06-2023 17:55:03.982,2090,21,5,9,-6,,,,
12-06-2023 17:55:04.002,2091,26,11,10,-5,,,,
12-06-2023 17:55:04.024,2092,26,11,11,-6,,,,
12-06-2023 17:55:04.043,2093,26,8,10,-6,,,,
12-06-2023 17:55:04.060,2094,24,7,12,-7,,,,
12-06-2023 17:55:04.082,2095,20,7,14,-8,,,,
12-06-2023 17:55:04.102,2096,16,5,23,-8,,,,
12-06-2023 17:55:04.124,2097,19,3,20,-12,,,,
12-06-2023 17:55:04.144,2098,18,3,12,-10,,,,
12-06-2023 17:55:04.161,2099,16,3,5,-10,,,,
12-06-2023 17:55:04.185,2100,12,5,8,-9,,,,
12-06-2023 17:55:04.201,2101,11,6,6,-10,,,,
12-06-2023 17:55:04.221,2102,8,7,10,-11,,,,
12-06-2023 17:55:04.243,2103,6,8,16,-10,,,,
12-06-2023 17:55:04.263,2104,5,8,18,-5,,,,
12-06-2023 17:55:04.285,2105,7,8,22,-10,,,,
12-06-2023 17:55:04.300,2106,7,8,24,-8,,,,
12-06-2023 17:55:04.322,2107,7,8,24,-5,,,,
12-06-2023 17:55:04.342,2108,17,7,24,-3,,,,
12-06-2023 17:55:04.364,2109,21,7,22,-4,,,,
12-06-2023 17:55:04.386,2110,26,6,19,-5,,,,
12-06-2023 17:55:04.403,2111,28,11,17,-5,,,,
12-06-2023 17:55:04.419,2112,25,11,14,-5,,,,
12-06-2023 17:55:04.442,2113,19,11,11,-6,,,,
12-06-2023 17:55:04.465,2114,14,12,8,-6,,,,
12-06-2023 17:55:04.484,2115,7,16,7,-7,,,,
12-06-2023 17:55:04.502,2116,5,17,7,-8,,,,
12-06-2023 17:55:04.520,2117,4,19,7,-8,,,,
12-06-2023 17:55:04.544,2118,3,18,8,-7,,,,
12-06-2023 17:55:04.560,2119,6,17,8,-7,,,,
12-06-2023 17:55:04.582,2120,10,11,10,-6,,,,
12-06-2023 17:55:04.602,2121,15,5,10,-5,,,,
12-06-2023 17:55:04.622,2122,16,10,11,-5,,,,
12-06-2023 17:55:04.643,2123,20,9,11,-5,,,,
12-06-2023 17:55:04.665,2124,24,7,12,-4,,,,
12-06-2023 17:55:04.684,2125,25,6,12,-4,,,,
12-06-2023 17:55:04.702,2126,22,5,10,-6,,,,
12-06-2023 17:55:04.726,2127,18,7,11,-7,,,,
12-06-2023 17:55:04.741,2128,16,7,12,-9,,,,
12-06-2023 17:55:04.776,2129,14,7,23,-7,,,,
12-06-2023 17:55:04.786,2130,14,5,21,-10,,,,
12-06-2023 17:55:04.802,2131,14,6,14,-10,,,,
12-06-2023 17:55:04.825,2132,12,5,7,-9,,,,
12-06-2023 17:55:04.842,2133,13,4,7,-9,,,,
12-06-2023 17:55:04.865,2134,11,5,8,-7,,,,
12-06-2023 17:55:04.885,2135,8,6,10,-7,,,,
12-06-2023 17:55:04.899,2136,6,7,12,-7,,,,
12-06-2023 17:55:04.922,2137,3,9,17,-6,,,,
12-06-2023 17:55:04.940,2138,2,10,20,-3,,,,
12-06-2023 17:55:04.961,2139,2,10,22,-3,,,,
12-06-2023 17:55:04.984,2140,5,9,26,-2,,,,
12-06-2023 17:55:04.999,2141,2,9,26,-2,,,,
12-06-2023 17:55:05.021,2142,6,9,25,-2,,,,
12-06-2023 17:55:05.044,2143,19,9,21,-4,,,,
12-06-2023 17:55:05.060,2144,23,10,18,-4,,,,
12-06-2023 17:55:05.084,2145,19,15,15,-3,,,,
12-06-2023 17:55:05.101,2146,15,13,14,-4,,,,
12-06-2023 17:55:05.121,2147,7,14,13,-4,,,,
12-06-2023 17:55:05.140,2148,5,15,13,-4,,,,
12-06-2023 17:55:05.163,2149,1,19,11,-5,,,,
12-06-2023 17:55:05.183,2150,0,20,9,-6,,,,
12-06-2023 17:55:05.201,2151,2,18,6,-7,,,,
12-06-2023 17:55:05.220,2152,6,17,4,-8,,,,
12-06-2023 17:55:05.239,2153,10,8,2,-8,,,,
12-06-2023 17:55:05.263,2154,15,8,4,-8,,,,
12-06-2023 17:55:05.282,2155,17,9,5,-7,,,,
12-06-2023 17:55:05.303,2156,23,6,6,-5,,,,
12-06-2023 17:55:05.320,2157,25,6,6,-6,,,,
12-06-2023 17:55:05.342,2158,24,4,11,-10,,,,
12-06-2023 17:55:05.360,2159,22,4,17,-10,,,,
12-06-2023 17:55:05.384,2160,19,5,33,-10,,,,
12-06-2023 17:55:05.404,2161,18,2,31,-10,,,,
12-06-2023 17:55:05.425,2162,21,3,17,-16,,,,
12-06-2023 17:55:05.440,2163,21,4,14,-17,,,,
12-06-2023 17:55:05.462,2164,25,2,17,-15,,,,
12-06-2023 17:55:05.481,2165,19,3,11,-13,,,,
12-06-2023 17:55:05.502,2166,15,5,13,-11,,,,
12-06-2023 17:55:05.521,2167,14,5,15,-11,,,,
