Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,,,,
12-06-2023 17:35:13.927,0,19,3,18,-5,,,,
12-06-2023 17:35:13.947,1,19,3,18,-5,,,,
12-06-2023 17:35:13.966,2,19,3,18,-5,,,,
12-06-2023 17:35:13.986,3,19,3,18,-5,,,,
12-06-2023 17:35:14.005,4,19,3,18,-5,,,,
12-06-2023 17:35:14.025,5,19,3,18,-5,,,,
12-06-2023 17:35:14.044,6,19,3,18,-5,,,,
12-06-2023 17:35:14.066,7,19,3,18,-5,,,,
12-06-2023 17:35:14.087,8,19,3,18,-5,,,,
12-06-2023 17:35:14.107,9,19,3,18,-5,,,,
12-06-2023 17:35:14.125,10,19,3,18,-5,,,,
12-06-2023 17:35:14.144,11,19,3,18,-5,,,,
12-06-2023 17:35:14.165,12,19,3,18,-5,,,,
12-06-2023 17:35:14.188,13,19,3,18,-5,,,,
12-06-2023 17:35:14.206,14,19,3,18,-5,,,,
12-06-2023 17:35:14.229,15,19,3,18,-5,,,,
12-06-2023 17:35:14.247,16,19,3,18,-5,,,,
12-06-2023 17:35:14.269,17,19,3,18,-5,,,,
12-06-2023 17:35:14.285,18,19,3,18,-5,,,,
12-06-2023 17:35:14.306,19,19,3,18,-5,,,,
12-06-2023 17:35:14.326,20,19,3,18,-5,,,,
12-06-2023 17:35:14.346,21,19,3,18,-5,,,,
12-06-2023 17:35:14.365,22,19,3,18,-5,,,,
12-06-2023 17:35:14.388,23,19,3,18,-5,,,,
12-06-2023 17:35:14.405,24,19,3,18,-5,,,,
12-06-2023 17:35:14.427,25,19,3,18,-5,,,,
12-06-2023 17:35:14.455,26,19,3,19,-5,,,,
12-06-2023 17:35:14.464,27,19,3,19,-5,,,,
12-06-2023 17:35:14.484,28,19,3,19,-5,,,,
12-06-2023 17:35:14.504,29,19,3,19,-5,,,,
12-06-2023 17:35:14.525,30,19,3,19,-5,,,,
12-06-2023 17:35:14.550,31,19,3,19,-5,,,,
12-06-2023 17:35:14.566,32,19,3,19,-5,,,,
12-06-2023 17:35:14.585,33,19,3,18,-5,,,,
12-06-2023 17:35:14.608,34,19,3,18,-4,,,,
12-06-2023 17:35:14.629,35,19,3,18,-4,,,,
12-06-2023 17:35:14.646,36,19,3,18,-4,,,,
12-06-2023 17:35:14.667,37,19,3,18,-4,,,,
12-06-2023 17:35:14.686,38,19,3,18,-4,,,,
12-06-2023 17:35:14.708,39,19,3,18,-4,,,,
12-06-2023 17:35:14.724,40,19,3,18,-4,,,,
12-06-2023 17:35:14.748,41,19,3,18,-4,,,,
12-06-2023 17:35:14.766,42,19,3,18,-4,,,,
12-06-2023 17:35:14.784,43,19,3,18,-4,,,,
12-06-2023 17:35:14.804,44,19,3,18,-4,,,,
12-06-2023 17:35:14.825,45,19,3,18,-4,,,,
12-06-2023 17:35:14.844,46,19,3,18,-4,,,,
12-06-2023 17:35:14.867,47,19,3,18,-4,,,,
12-06-2023 17:35:14.885,48,19,3,18,-4,,,,
12-06-2023 17:35:14.907,49,19,3,18,-4,,,,
12-06-2023 17:35:14.926,50,19,3,18,-4,,,,
12-06-2023 17:35:14.947,51,19,3,18,-4,,,,
12-06-2023 17:35:14.968,52,19,3,18,-4,,,,
12-06-2023 17:35:14.985,53,19,3,18,-4,,,,
12-06-2023 17:35:15.006,54,19,3,18,-4,,,,
12-06-2023 17:35:15.026,55,19,3,18,-4,,,,
12-06-2023 17:35:15.045,56,19,3,18,-4,,,,
12-06-2023 17:35:15.066,57,19,3,18,-4,,,,
12-06-2023 17:35:15.086,58,19,3,18,-4,,,,
12-06-2023 17:35:15.106,59,19,3,18,-4,,,,
12-06-2023 17:35:15.127,60,19,4,18,-4,,,,
12-06-2023 17:35:15.145,61,19,4,18,-4,,,,
12-06-2023 17:35:15.166,62,19,4,18,-4,,,,
12-06-2023 17:35:15.188,63,19,3,18,-4,,,,
12-06-2023 17:35:15.205,64,19,3,18,-4,,,,
12-06-2023 17:35:15.231,65,19,3,18,-4,,,,
12-06-2023 17:35:15.245,66,19,3,18,-4,,,,
12-06-2023 17:35:15.264,67,19,4,18,-4,,,,
12-06-2023 17:35:15.287,68,19,4,18,-4,,,,
12-06-2023 17:35:15.308,69,19,4,18,-4,,,,
12-06-2023 17:35:15.328,70,19,4,18,-4,,,,
12-06-2023 17:35:15.347,71,19,4,18,-4,,,,
12-06-2023 17:35:15.368,72,19,4,18,-4,,,,
12-06-2023 17:35:15.386,73,19,4,18,-4,,,,
12-06-2023 17:35:15.408,74,19,4,18,-4,,,,
12-06-2023 17:35:15.431,75,19,4,18,-4,,,,
12-06-2023 17:35:15.449,76,19,4,18,-4,,,,
12-06-2023 17:35:15.466,77,19,4,18,-4,,,,
12-06-2023 17:35:15.485,78,19,4,18,-4,,,,
12-06-2023 17:35:15.506,79,19,4,18,-4,,,,
12-06-2023 17:35:15.525,80,19,4,18,-4,,,,
12-06-2023 17:35:15.547,81,19,4,18,-4,,,,
12-06-2023 17:35:15.564,82,19,4,18,-4,,,,
12-06-2023 17:35:15.585,83,19,4,18,-4,,,,
