Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,X_Vel,Z_Vel,Notes1,Notes2,Notes3,Notes4
26-06-2023 09:57:06.831,0,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.849,1,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.863,2,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.889,3,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.904,4,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.926,5,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.944,6,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.965,7,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:06.983,8,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.007,9,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.024,10,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.050,11,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.064,12,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.082,13,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.104,14,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.123,15,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.142,16,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.165,17,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.183,18,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.206,19,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.225,20,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.246,21,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.264,22,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.288,23,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.303,24,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.324,25,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.344,26,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.365,27,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.383,28,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.405,29,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.426,30,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.446,31,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.465,32,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.485,33,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.506,34,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.524,35,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.544,36,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.566,37,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.583,38,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.603,39,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.625,40,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.645,41,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.663,42,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.683,43,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.704,44,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.725,45,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.745,46,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.765,47,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.786,48,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.803,49,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.825,50,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.846,51,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.866,52,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.887,53,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.906,54,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.923,55,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.945,56,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.966,57,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:07.983,58,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.006,59,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.023,60,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.044,61,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.065,62,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.084,63,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.106,64,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.126,65,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.145,66,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.164,67,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.186,68,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.205,69,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.225,70,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.245,71,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.265,72,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.284,73,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.305,74,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.323,75,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.343,76,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.366,77,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.387,78,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.411,79,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.423,80,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.444,81,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.465,82,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.484,83,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.503,84,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.526,85,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.544,86,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.563,87,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.586,88,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.606,89,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.624,90,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.644,91,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.664,92,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.688,93,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.704,94,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.726,95,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.747,96,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.765,97,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.785,98,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.806,99,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.827,100,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.845,101,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.865,102,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.885,103,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.906,104,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.925,105,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.944,106,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.963,107,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:08.985,108,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.004,109,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.028,110,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.044,111,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.064,112,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.086,113,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.106,114,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.126,115,20,6,21,-7,,,CUTOFF,,,
26-06-2023 09:57:09.144,116,20,6,21,-7,,,CUTOFF,,,
